 ’ กซจๆ  3.1.1 ฅงใซ์โ โ๋ p แ็ฅโ  ฏ p ฌฅโpฎข ญ แโpฎฉชจ
               pฅฃใซ๏โฎp  ฏpจ m = 0.272.

ษอออออออออออัอออออออออออัอออออออออออัอออออออออออัอออออออออออป
บ     X     ณ     A     ณ     Y     ณ     E     ณ     S     บ
ฬอออออออออออุอออออออออออุอออออออออออุอออออออออออุอออออออออออน
บ    0.0500 ณ -2.899002 ณ   -3.5093 ณ    0.8641 ณ -0.012312 บ
บ    0.1000 ณ -2.650903 ณ   -1.4895 ณ    0.7135 ณ -0.047900 บ
บ    0.1500 ณ -2.412095 ณ   -0.7882 ณ    0.5495 ณ -0.104575 บ
บ    0.2000 ณ -2.193713 ณ   -0.4156 ณ    0.3739 ณ -0.179952 บ
บ    0.2500 ณ -2.000396 ณ   -0.1733 ณ    0.1882 ณ -0.271474 บ
บ    0.3000 ณ -1.831550 ณ    0.0048 ณ    0.0060 ณ  0.376439 บ
บ    0.3500 ณ -1.683987 ณ    0.1474 ณ    0.2072 ณ  0.492032 บ
บ    0.4000 ณ -1.553886 ณ    0.2690 ณ    0.4138 ณ  0.615347 บ
บ    0.4500 ณ -1.437739 ณ    0.3779 ณ    0.6243 ณ  0.743420 บ
บ    0.5000 ณ -1.332643 ณ    0.4793 ณ    0.8371 ณ  0.873248 บ
บ    0.5500 ณ -1.236306 ณ    0.5769 ณ    1.0508 ณ  1.001823 บ
บ    0.6000 ณ -1.146951 ณ    0.6734 ณ    1.2639 ณ  1.126151 บ
บ    0.6500 ณ -1.063210 ณ    0.7711 ณ    1.4750 ณ  1.243279 บ
บ    0.7000 ณ -0.984024 ณ    0.8724 ณ    1.6828 ณ  1.350317 บ
บ    0.7500 ณ -0.908570 ณ    0.9792 ณ    1.8859 ณ  1.444463 บ
บ    0.8000 ณ -0.836203 ณ    1.0943 ณ    2.0832 ณ  1.523020 บ
บ    0.8500 ณ -0.766412 ณ    1.2204 ณ    2.2735 ณ  1.583419 บ
บ    0.9000 ณ -0.698789 ณ    1.3614 ณ    2.4555 ณ  1.623235 บ
บ    0.9500 ณ -0.633006 ณ    1.5223 ณ    2.6283 ณ  1.640208 บ
บ    1.0000 ณ -0.568796 ณ    1.7098 ณ    2.7908 ณ  1.632255 บ
บ    1.0500 ณ -0.505940 ณ    1.9338 ณ    2.9422 ณ  1.597484 บ
บ    1.1000 ณ -0.444257 ณ    2.2094 ณ    3.0816 ณ  1.534211 บ
บ    1.1500 ณ -0.383596 ณ    2.5603 ณ    3.2081 ณ  1.440966 บ
บ    1.2000 ณ -0.323831 ณ    3.0274 ณ    3.3213 ณ  1.316507 บ
บ    1.2500 ณ -0.264855 ณ    3.6862 ณ    3.4203 ณ  1.159824 บ
บ    1.3000 ณ -0.206577 ณ    4.6963 ณ    3.5047 ณ  0.970151 บ
บ    1.3500 ณ -0.148920 ณ    6.4594 ณ    3.5740 ณ  0.746963 บ
บ    1.4000 ณ -0.091818 ณ   10.3656 ณ    3.6279 ณ  0.489987 บ
บ    1.4500 ณ -0.035213 ณ   26.6848 ณ    3.6659 ณ  0.199199 บ
บ    1.5000 ณ  0.020945 ณ  -44.1945 ณ    3.6880 ณ -0.125173 บ
ศอออออออออออฯอออออออออออฯอออออออออออฯอออออออออออฯอออออออออออผ
