 ’ กซจๆ  3.1.2 ฅงใซ์โ โ๋ p แ็ฅโ  ฏ p ฌฅโpฎข ญ แโpฎฉชจ
               pฅฃใซ๏โฎp  ฏpจ m = 0.

ษอออออออออออัอออออออออออัอออออออออออัอออออออออออัอออออออออออป
บ     X     ณ     A     ณ     Y     ณ     E     ณ     S     บ
ฬอออออออออออุอออออออออออุอออออออออออุอออออออออออุอออออออออออน
บ    0.0500 ณ -2.908482 ณ   -4.2118 ณ    0.9895 ณ -0.011747 บ
บ    0.1000 ณ -2.686887 ณ   -2.0455 ณ    0.9580 ณ -0.046835 บ
บ    0.1500 ณ -2.484494 ณ   -1.2962 ณ    0.9057 ณ -0.104813 บ
บ    0.2000 ณ -2.304044 ณ   -0.9008 ณ    0.8329 ณ -0.184929 บ
บ    0.2500 ณ -2.144637 ณ   -0.6464 ณ    0.7398 ณ -0.286136 บ
บ    0.3000 ณ -2.003611 ณ   -0.4620 ณ    0.6270 ณ -0.407102 บ
บ    0.3500 ณ -1.877871 ณ   -0.3171 ณ    0.4949 ณ -0.546211 บ
บ    0.4000 ณ -1.764546 ณ   -0.1962 ณ    0.3441 ณ -0.701581 บ
บ    0.4500 ณ -1.661216 ณ   -0.0907 ณ    0.1755 ณ -0.871070 บ
บ    0.5000 ณ -1.565930 ณ    0.0049 ณ    0.0102 ณ  1.052289 บ
บ    0.5500 ณ -1.477145 ณ    0.0939 ณ    0.2122 ณ  1.242621 บ
บ    0.6000 ณ -1.393650 ณ    0.1790 ณ    0.4294 ณ  1.439233 บ
บ    0.6500 ณ -1.314495 ณ    0.2621 ณ    0.6608 ณ  1.639095 บ
บ    0.7000 ณ -1.238927 ณ    0.3446 ณ    0.9054 ณ  1.838999 บ
บ    0.7500 ณ -1.166352 ณ    0.4280 ณ    1.1618 ณ  2.035581 บ
บ    0.8000 ณ -1.096292 ณ    0.5136 ณ    1.4288 ณ  2.225338 บ
บ    0.8500 ณ -1.028363 ณ    0.6027 ณ    1.7052 ณ  2.404654 บ
บ    0.9000 ณ -0.962253 ณ    0.6968 ณ    1.9895 ณ  2.569824 บ
บ    0.9500 ณ -0.897705 ณ    0.7973 ณ    2.2803 ณ  2.717074 บ
บ    1.0000 ณ -0.834508 ณ    0.9063 ณ    2.5763 ณ  2.842591 บ
บ    1.0500 ณ -0.772486 ณ    1.0262 ณ    2.8757 ณ  2.942543 บ
บ    1.1000 ณ -0.711492 ณ    1.1599 ณ    3.1772 ณ  3.013111 บ
บ    1.1500 ณ -0.651402 ณ    1.3116 ณ    3.4792 ณ  3.050511 บ
บ    1.2000 ณ -0.592111 ณ    1.4867 ณ    3.7800 ณ  3.051022 บ
บ    1.2500 ณ -0.533528 ณ    1.6930 ณ    4.0781 ณ  3.011013 บ
บ    1.3000 ณ -0.475577 ณ    1.9417 ณ    4.3719 ณ  2.926970 บ
บ    1.3500 ณ -0.418192 ณ    2.2502 ณ    4.6596 ณ  2.795522 บ
บ    1.4000 ณ -0.361314 ณ    2.6462 ณ    4.9398 ณ  2.613465 บ
บ    1.4500 ณ -0.304895 ณ    3.1776 ณ    5.2107 ณ  2.377793 บ
บ    1.5000 ณ -0.248889 ณ    3.9345 ณ    5.4709 ณ  2.085719 บ
บ    1.5500 ณ -0.193259 ณ    5.1098 ณ    5.7187 ณ  1.734700 บ
บ    1.6000 ณ -0.137971 ณ    7.2018 ณ    5.9526 ณ  1.322463 บ
บ    1.6500 ณ -0.082995 ณ   12.0212 ณ    6.1711 ณ  0.847025 บ
บ    1.7000 ณ -0.028304 ณ   35.3209 ณ    6.3727 ณ  0.306717 บ
บ    1.7500 ณ  0.026125 ณ  -38.2688 ณ    6.5559 ณ -0.299797 บ
ศอออออออออออฯอออออออออออฯอออออออออออฯอออออออออออฯอออออออออออผ
